artist_name,country,artist_born,piece_title,piece_year,piece_medium,piece_height_mm,piece_width_mm,piece_area_cm,art_transfer,rental_year,semester,year_and_sem,rank
"“Andy Warhol""","“American""",1928,"“Birmingham Race Riot, from Ten Works by Ten Painters”",1964,“Screenprint”,508,610,30988,2010.3,2006,1,2006.1,1
"“Annette Messager""","“French""",1943,"“Protection""",1994,"“Mixed media with photograph""",514,483,24826.2,2013.26,2006,1,2006.1,2
“Carrie Mae Weems”,"“American""",1953,"“Jim, if you choose to accept, the mission is to land on your own
two feet""",1988,"""Gelatin silver print”",394,394,15523.6,2014.55,2006,1,2006.1,3
"""Roy Lichtenstein”","“American""",1923,"""Boot on Hand”",1964,"“Silkscreen""",430,524,22532,2015.36,2006,1,2006.1,4
"“Marc Chagall""","“French""",1887,"""Abdullah the Fisherman and Abdullah the Merman, from Four
Tales from the Arabian Nights”",1948,“Color lithograph”,430,333,14319,2016.12,2006,1,2006.1,5
"""Francisco Jose de Goya y Lucientes”",“Spanish”,1746,Tauromaquia,1751,"""Etching and aquatint”",154,349,5374.6,RC1949.4,2006,1,2006.1,6
"""Henri Matisse”","“French""",1869,"""Head, from Visages”",1946,"""Lithograph""",330,257,8481,RC1952.3,2006,1,2006.1,7
"""Marc Chagall”","“French""",1887,"“Untitled""",1948,"""Lithograph""",337,241,8121.7,RC1953.3,2006,1,2006.1,8
"""Henri de Toulouse-Lautrec”","“French""",1864,"""Paula Brebion""",1876,"""Lithograph""",305,232,7076,RC1955.1,2006,1,2006.1,9
"""Pablo Picasso”",“Spanish”,1881,"""Boy with Mask”",1953,"""Lithograph""",533.4,430.2,22946.868,RC1956.2,2006,1,2006.1,10
"""Pablo Picasso”",“Spanish”,1881,"""Still Life”",1924,"“Woodcut""",551,379,20882.9,RC1962.2,2006,1,2006.1,11
"""Alex Katz”","“American""",1927,"""Beach House”",1955,Silkscreen,140,184,2576,RC1967.2,2006,1,2006.1,12
"""James Rosenquist”","""American""",1933,"""Untitled""",1969,"""Off-set lithograph”",421,818,34437.8,RC1969.12,2006,1,2006.1,13
"""Sol LeWitt”","""American""",1928,"""Untitled""",1970,Silkscreen,306,851,26040.6,RC1970.2,2006,1,2006.1,14
"""Alice Neel""","""American""",1900,"“Olivia""",1972,"“Silkscreen""",737,584,43040.8,RC1976.7,2006,1,2006.1,15
"""Ohara Koson”","“Japanese""",1877,"“Swallows""",1935,"""Color woodcut”",218,286,6234.8,RC1979.8,2006,1,2006.1,16
"""Nan Goldin""","“American""",1953,"""Suzanne and Philippe on the train, Long Island, 1985”",1997,"""Cibachrome print”",406,508,20624.8,RC1997.1,2006,1,2006.1,17
"""Kawase Hasui""","“Japanese""",1883,"""Winter Moon”",1930,"""Color woodblock print”",400,270,10800,RC1997.10,2006,1,2006.1,18
"""Clarence Holbrook Carter”","""American""",1904,"""Nude in Motion”",1978,"""Color serigraph”",1019,667,67967.3,RC2003.4,2006,1,2006.1,19
"""Roy Lichtenstein”","“American""",1923,"""Temple (Leo Castelli Announcement for 1964 Roy Lichtenstein
Exhibition Landscapes)”",1964,"""Off-set lithographic poster”",579,430,24897,UN2016.1,2006,1,2006.1,20
"""Roy Lichtenstein”","“American""",1923,"""Untitled (Coke and Sandwich), from the portfolio Ten Works,
Ten Painters”",1964,"“Silkscreen""",486,586,28479.6,2008.5,2006,2,2006.2,1
